Type,New Task Id,New Task CPU,New Task Mem,New Node,Old Task Id,Old Task CPU, Old Task Mem, Old Task's New Node,Time 
Reschedule,453105,0.076420,0.339400,110,386677,0.216300,0.221900,104,0
Reschedule,580922,0.127200,0.312500,106,898204,0.108800,0.125000,99,0
Reschedule,366036,0.127200,0.312500,104,302434,0.063600,0.250000,39,0
Reschedule,815395,0.063600,0.250000,110,783895,0.076420,0.162600,103,0
Reschedule,628218,0.076420,0.339400,84,134502,0.052490,0.187500,50,0
Reschedule,914780,0.063600,0.250000,92,812340,0.139900,0.156200,67,0
Reschedule,367968,0.063600,0.250000,62,608852,0.047730,0.125000,51,0
Reschedule,368136,0.053160,0.187500,98,324932,0.028630,0.125000,46,0
Reschedule,504280,0.047730,0.125000,120,437735,0.007767,0.012500,115,0
Reschedule,766382,0.055660,0.125000,117,444515,0.031800,0.056270,45,0
Reschedule,219985,0.047730,0.062500,139,561300,0.026430,0.037480,80,0
Reschedule,539969,0.047730,0.062500,138,587930,0.015900,0.056270,52,0
Reschedule,540019,0.117400,0.062500,137,300393,0.031800,0.056270,53,0
Reschedule,634556,0.039610,0.062500,137,345759,0.015900,0.031250,127,0
Reschedule,186537,0.071660,0.062500,137,486293,0.031800,0.056270,90,0
Reschedule,758242,0.031070,0.187500,148,791112,0.038020,0.112500,146,0
Reschedule,419497,0.047730,0.062500,150,208195,0.020690,0.040650,99,0
Reschedule,717650,0.039610,0.062500,150,221320,0.006836,0.031250,143,0
Reschedule,223662,0.076420,0.084350,134,554115,0.016050,0.031250,38,0
Reschedule,544051,0.118400,0.062500,148,757797,0.015900,0.056270,123,0
Reschedule,704978,0.060610,0.250000,160,649992,0.031070,0.187500,153,0
Reschedule,955276,0.031800,0.381300,159,421361,0.076420,0.150600,155,0
Reschedule,556330,0.089600,0.074950,160,492761,0.085690,0.062500,152,0
Reschedule,769542,0.047730,0.193800,180,442207,0.011930,0.068730,16,8100
Reschedule,286674,0.047730,0.193800,177,603293,0.029390,0.240700,178,8700
Reschedule,333015,0.047730,0.193800,177,465633,0.011930,0.068730,37,8700
Reschedule,675027,0.047730,0.193800,175,128104,0.055660,0.125000,91,8700
Reschedule,5940,0.047730,0.193800,174,247591,0.108800,0.125000,92,8700
Reschedule,992457,0.055660,0.187500,179,670613,0.011930,0.068730,56,16200
Reschedule,742482,0.047730,0.157200,180,462821,0.031800,0.062500,172,17700
Reschedule,607386,0.055660,0.187500,179,474264,0.076420,0.125000,90,19500
Reschedule,177141,0.055660,0.187500,176,887291,0.011930,0.068730,34,19500
Reschedule,723278,0.063600,0.187500,175,591790,0.011930,0.068730,154,19500
Reschedule,381314,0.055660,0.187500,174,806509,0.076420,0.103800,67,19500
Reschedule,671681,0.055660,0.187500,173,789078,0.031800,0.062500,5,19500
Reschedule,327986,0.055660,0.187500,169,879649,0.031070,0.187500,178,19500
Reschedule,671641,0.055660,0.187500,164,436533,0.076420,0.128200,120,19500
Reschedule,310572,0.055660,0.187500,163,378378,0.055660,0.125000,138,19500
Reschedule,132677,0.069210,0.206300,158,142070,0.001554,0.250500,178,19500
Reschedule,463552,0.069210,0.206300,156,472572,0.007767,0.151400,178,19500
Reschedule,728610,0.061710,0.180900,175,766123,0.033390,0.125000,59,20100
Reschedule,335892,0.020690,0.099980,177,163863,0.011930,0.068730,127,21300
Reschedule,976590,0.020690,0.099980,177,532175,0.031800,0.062500,169,21300
Reschedule,518143,0.020690,0.099980,174,783782,0.031190,0.037480,41,21300
Reschedule,137577,0.020690,0.099980,172,462821,0.031800,0.062500,23,21300
Reschedule,322711,0.020690,0.099980,171,897118,0.031800,0.062500,98,21300
Reschedule,408649,0.020690,0.099980,171,949307,0.031800,0.062500,103,21300
Reschedule,178871,0.020690,0.099980,171,997815,0.082150,0.081300,25,21300
Reschedule,884848,0.020690,0.099980,170,193760,0.076420,0.084960,149,21300
Reschedule,647473,0.020690,0.099980,168,921888,0.076420,0.084960,131,21300
Reschedule,831150,0.020690,0.099980,167,975447,0.076420,0.084960,155,21300
Reschedule,127837,0.020690,0.099980,166,876973,0.031800,0.062500,108,21300
Reschedule,824718,0.020690,0.099980,165,587949,0.031800,0.062500,123,21300
Reschedule,647397,0.020690,0.099980,163,997637,0.031800,0.062500,129,21300
Reschedule,26859,0.020690,0.099980,162,651302,0.076420,0.084960,68,21300
Reschedule,821493,0.020690,0.099980,177,847269,0.031800,0.062500,12,21900
Reschedule,822184,0.020690,0.099980,177,34993,0.011930,0.068730,165,21900
Reschedule,611209,0.020690,0.099980,175,481668,0.015900,0.021240,22,21900
Reschedule,28228,0.020690,0.099980,174,681846,0.031190,0.037480,55,21900
Reschedule,570947,0.020690,0.099980,171,843091,0.047730,0.068730,167,21900
Reschedule,452703,0.020690,0.099980,171,808720,0.011930,0.068730,79,21900
Reschedule,254230,0.020690,0.099980,163,691130,0.047730,0.068730,148,21900
Reschedule,899897,0.020690,0.099980,162,630804,0.159200,0.062500,150,21900
Reschedule,720776,0.020690,0.099980,161,973553,0.071660,0.068730,38,21900
Reschedule,689506,0.020690,0.099980,160,988204,0.011930,0.068730,74,21900
Reschedule,340794,0.020690,0.099980,160,556330,0.089600,0.074950,156,21900
Reschedule,943758,0.055660,0.187500,180,742482,0.047730,0.157200,42,25800
Reschedule,657826,0.063600,0.187500,180,189024,0.031800,0.062500,48,25800
Reschedule,728,0.063600,0.187500,176,863215,0.006775,0.009369,6,25800
Reschedule,132678,0.069210,0.206300,172,11318,0.019100,0.106200,115,25800
Reschedule,463553,0.069210,0.206300,171,682383,0.011930,0.068730,12,25800
Reschedule,655152,0.020690,0.099980,179,900494,0.006104,0.062500,13,26400
Reschedule,5487,0.020690,0.099980,174,613474,0.011930,0.068730,30,26400
Reschedule,124156,0.020690,0.099980,172,337208,0.110400,0.036250,6,26400
Reschedule,967007,0.020690,0.099980,171,782275,0.011930,0.068730,53,26400
Reschedule,640346,0.020690,0.099980,171,308215,0.011930,0.068730,55,26400
Reschedule,296602,0.020690,0.099980,170,763571,0.110400,0.036250,10,26400
Reschedule,454135,0.020690,0.099980,169,705624,0.159200,0.062500,47,26400
Reschedule,454136,0.020690,0.099980,168,697243,0.011930,0.068730,65,26400
Reschedule,588018,0.159200,0.062500,180,357141,0.025450,0.023740,16,29100
Reschedule,726320,0.159200,0.062500,177,979758,0.085690,0.062500,172,29100
Reschedule,520580,0.159200,0.062500,176,761334,0.003883,0.062500,172,29100
Reschedule,202017,0.159200,0.062500,175,834571,0.110400,0.036250,19,29100
Reschedule,870135,0.159200,0.062500,174,419218,0.110400,0.036250,26,29100
Reschedule,118045,0.159200,0.062500,164,620138,0.020200,0.056270,82,29100
Reschedule,528126,0.159200,0.062500,160,419088,0.025450,0.023740,33,29100
Reschedule,496765,0.063350,0.062500,170,458137,0.012700,0.053100,156,29400
Reschedule,169022,0.020690,0.099980,179,263364,0.031800,0.062500,114,30000
Reschedule,300156,0.020690,0.099980,179,559217,0.011930,0.068730,128,30000
Reschedule,426677,0.020690,0.099980,175,772126,0.122800,0.062500,141,30000
Reschedule,944707,0.020690,0.099980,129,22515,0.001554,0.250500,178,30000
Reschedule,910486,0.020690,0.099980,129,545284,0.039790,0.046880,154,30000
Reschedule,873851,0.020690,0.099980,109,888036,0.020690,0.040650,151,30000
Reschedule,251121,0.020690,0.099980,74,840471,0.039790,0.046880,42,30000
Reschedule,844284,0.020690,0.099980,71,805822,0.020200,0.056270,157,30000
Reschedule,871107,0.020690,0.099980,65,930336,0.012700,0.053100,39,30000
Reschedule,844202,0.020690,0.099980,47,148425,0.001865,0.062500,178,30000
Reschedule,631254,0.020690,0.099980,190,568226,0.015900,0.030300,30,39900
Reschedule,628933,0.020690,0.099980,189,187527,0.015900,0.030300,36,39900
