Time,None,Background,Total,None%,Background%
300,79.607934,79.607934,167.637509,0.474881394,0.474881394
600,79.607934,79.607934,170.307079,0.46743761,0.46743761
900,79.607934,79.607934,170.307079,0.46743761,0.46743761
1200,78.817524,78.817524,170.912965,0.461155911,0.461155911
1500,78.680074,78.680074,170.016696,0.462778514,0.462778514
1800,78.192594,78.192594,173.563463,0.450512986,0.450512986
2100,77.867624,77.867624,172.992756,0.450120721,0.450120721
2400,77.792654,77.792654,170.639249,0.455889571,0.455889571
2700,77.761404,77.761404,176.159127,0.441427051,0.441427051
3000,77.761404,77.761404,172.46214,0.450889708,0.450889708
3300,77.142834,77.142834,170.738424,0.451818824,0.451818824
3600,77.023014,77.023014,168.199162,0.457927454,0.457927454
3900,77.023014,77.023014,169.004187,0.455746188,0.455746188
4200,77.023014,77.023014,168.869859,0.456108713,0.456108713
4500,77.023014,77.023014,168.800361,0.4562965,0.4562965
4800,77.023014,77.023014,170.310146,0.452251471,0.452251471
5100,77.023014,77.023014,168.020305,0.458414916,0.458414916
5400,77.023014,77.023014,169.545911,0.454290012,0.454290012
5700,77.023014,77.023014,169.148119,0.455358383,0.455358383
6000,76.95739,76.95739,168.704611,0.456166489,0.456166489
6300,76.95739,76.95739,169.441448,0.454182792,0.454182792
6600,76.91991,76.91991,169.438011,0.453970804,0.453970804
6900,76.90741,76.90741,168.99655,0.455082722,0.455082722
7200,76.90741,76.90741,169.69307,0.453214795,0.453214795
7500,76.90741,76.90741,169.722715,0.453135634,0.453135634
7800,76.90741,76.90741,169.385325,0.454038211,0.454038211
8100,76.84491,76.84491,170.085117,0.45180267,0.45180267
8400,76.78241,76.78241,170.172777,0.451202662,0.451202662
8700,75.96991,75.96991,171.261487,0.443590158,0.443590158
9000,75.84491,75.84491,171.902395,0.441209152,0.441209152
9300,75.69696,75.69696,170.110577,0.444986792,0.444986792
9600,75.69696,75.69696,168.825397,0.448374245,0.448374245
9900,75.64612,75.64612,168.611689,0.448641019,0.448641019
10200,75.64612,75.64612,167.723427,0.451017019,0.451017019
10500,75.58362,75.58362,170.277193,0.443885753,0.443885753
10800,75.58362,75.58362,169.402646,0.446177328,0.446177328
11100,75.58362,89.026727,169.083777,0.447018758,0.526524357
11400,75.58362,90.052724,168.708747,0.448012455,0.53377626
11700,75.58362,89.965234,167.935419,0.450075514,0.535713279
12000,75.58362,89.965234,167.289572,0.451813099,0.537781482
12300,75.58362,89.965234,166.434394,0.454134618,0.540544727
12600,75.58362,89.902734,167.003767,0.452586318,0.538327582
12900,75.58362,89.902734,168.710444,0.448007949,0.532881853
13200,75.58362,89.902734,169.076997,0.447036684,0.531726584
13500,75.58362,89.877344,170.165369,0.444177452,0.528176471
13800,75.57112,89.864844,171.855071,0.439737504,0.522910633
14100,75.53362,89.827344,169.281114,0.446202286,0.530640081
14400,75.47112,89.764843,168.91682,0.446794582,0.531414474
14700,75.44573,89.739453,171.310684,0.440402946,0.523840375
15000,75.44573,89.739453,170.23824,0.443177338,0.527140395
15300,75.44573,89.714063,171.47513,0.439980597,0.52318994
15600,75.44573,89.714063,169.341107,0.445525197,0.529783138
15900,74.32073,88.464063,167.545784,0.443584603,0.527999338
16200,74.32073,88.439073,167.478349,0.443763211,0.528062723
16500,74.07073,88.189073,170.428442,0.43461484,0.517455138
16800,74.07073,88.189073,170.172501,0.435268504,0.518233395
17100,74.07073,88.189073,169.850812,0.436092881,0.519214904
17400,74.07073,88.189073,169.12473,0.437965104,0.521443984
17700,74.07073,88.189073,170.08724,0.435486695,0.518493174
18000,74.07073,88.189073,172.32161,0.429840053,0.511770248
18300,74.07073,88.189073,169.24368,0.437657288,0.521077496
18600,74.064482,88.182825,169.764734,0.436277195,0.519441364
18900,74.039092,88.157436,169.729306,0.436218669,0.519400203
19200,74.039092,88.157436,170.491062,0.434269639,0.517079517
19500,74.039092,88.157436,171.752135,0.431081058,0.513282912
19800,73.832882,94.369722,173.048934,0.426658982,0.545335471
20100,73.832882,93.908822,173.52066,0.425499085,0.541196777
20400,73.832882,93.908822,173.342278,0.425936955,0.541753709
20700,73.832882,93.908822,172.721784,0.427467111,0.543699931
21000,73.832882,93.908822,173.781206,0.424861144,0.540385374
21300,73.832882,93.908822,172.909579,0.427002844,0.543109425
21600,73.832882,93.908822,175.134146,0.421579022,0.536210808
21900,73.832882,93.908822,172.709588,0.427497297,0.543738324
22200,73.832882,93.908822,175.480034,0.420748049,0.535153885
22500,73.832882,93.908822,175.121444,0.4216096,0.536249701
22800,73.832882,93.908822,173.350722,0.425916207,0.54172732
23100,73.832882,93.908822,174.054229,0.424194703,0.539537721
23400,73.832882,93.908822,171.475232,0.430574615,0.547652398
23700,73.832882,93.908822,170.014201,0.434274793,0.552358694
24000,73.832882,93.908822,171.544981,0.430399546,0.547429726
24300,73.832882,93.908822,168.97046,0.436957336,0.555770648
24600,73.802882,93.878822,170.454963,0.432975847,0.550754407
24900,73.802882,93.878822,170.161852,0.433721666,0.551703104
25200,73.365382,94.303952,168.814182,0.434592527,0.558625768
25500,73.365382,94.303952,168.249134,0.436052063,0.560501857
25800,73.365382,94.303952,168.405421,0.435647389,0.559981688
26100,73.365382,94.303952,170.588506,0.430072246,0.552815393
26400,73.365382,94.303952,167.973058,0.436768747,0.561423083
26700,73.365382,94.303952,173.365689,0.423182825,0.543959722
27000,73.365382,94.303952,167.17453,0.438855022,0.564104783
27300,73.365382,94.303952,168.564589,0.435236027,0.559452923
27600,73.346638,94.27896,173.152229,0.423596268,0.544485974
27900,73.346638,94.27896,173.405314,0.422978029,0.543691297
28200,73.346638,94.27896,173.383175,0.423032039,0.54376072
28500,73.346638,94.27896,173.239552,0.42338275,0.54421152
28800,73.346638,94.27896,175.780137,0.417263516,0.536345924
29100,66.971638,86.02896,162.233467,0.41281025,0.530278749
29400,66.971638,86.02896,176.594646,0.379239346,0.487154973
29700,66.971638,86.02896,176.952207,0.37847303,0.486170596
30000,66.971638,86.02896,176.682516,0.379050738,0.486912695
30300,66.971638,85.96646,178.805455,0.374550307,0.480782088
30600,66.971638,85.96646,176.623094,0.379178263,0.486722648
30900,66.971638,85.96646,177.591846,0.37710987,0.484067607
31200,66.971638,85.96646,177.685396,0.376911325,0.48381275
31500,66.971638,85.960212,176.975887,0.378422389,0.485717085
31800,66.971638,85.960212,176.989157,0.378394017,0.485680668
32100,66.877888,85.866462,176.839177,0.378184796,0.485562438
32400,66.877888,85.866462,171.649491,0.389618912,0.500243033
32700,66.877888,85.866462,173.278173,0.385956793,0.495541132
33000,66.877888,85.866462,184.43226,0.362614913,0.465571815
33300,66.862268,85.850842,182.925638,0.365516112,0.469320993
33600,66.862268,85.850842,182.886517,0.365594299,0.469421384
33900,66.862268,85.850842,179.260333,0.372989757,0.478917118
34200,66.862268,85.850842,174.644017,0.38284889,0.491576199
34500,66.805998,85.794572,173.508014,0.385031195,0.494470371
34800,66.805998,85.794572,172.834851,0.386530828,0.496396251
35100,66.805998,85.794572,173.61636,0.384790915,0.494161794
35400,66.774748,85.763322,174.09071,0.38356296,0.492635833
35700,66.023248,88.890745,172.081706,0.383673835,0.516561272
36000,66.023248,89.914416,171.70412,0.384517553,0.523659048
36300,66.023248,93.625381,172.83849,0.381993895,0.541692889
36600,66.023248,92.799831,171.775989,0.384356675,0.540237501
36900,65.585748,92.362331,172.882197,0.379366697,0.5342501
37200,65.5795,92.356083,171.865687,0.38157413,0.5373736
37500,65.197,91.973583,171.123582,0.380993661,0.537468781
37800,65.197,91.973583,171.532881,0.380084562,0.536186313
38100,65.0095,91.598583,173.538987,0.374610346,0.527827116
38400,64.76573,91.354813,172.280403,0.375932079,0.530268164
38700,64.48754,90.951623,182.968648,0.352451312,0.497088567
39000,64.40942,90.686003,182.794343,0.352360029,0.496109461
39300,64.40942,90.686003,182.988783,0.351985619,0.495582306
39600,64.37817,90.654753,181.076907,0.355529433,0.500642266
39900,64.31567,90.592253,183.130311,0.351201664,0.494687376
40200,64.31567,90.592253,184.005961,0.349530361,0.492333251
40500,64.19067,90.352253,185.055413,0.346872696,0.488244313
40800,64.19067,90.274133,182.109905,0.352483134,0.495712372
41100,64.19067,90.274133,182.151916,0.352401838,0.495598042
41400,63.92505,89.833473,182.575362,0.350129663,0.492035026
41700,63.64064,89.549063,186.732968,0.340810949,0.479556791
42000,63.45314,89.361563,184.161606,0.344551404,0.48523449
42300,63.45314,89.361563,182.977254,0.346781573,0.488375255
42600,63.29689,89.205313,182.288784,0.347234145,0.489362598
42900,63.29689,89.205313,184.510654,0.343052765,0.483469713
43200,63.29689,89.205313,183.450966,0.345034378,0.486262433
43500,63.23439,89.142813,183.425335,0.344741854,0.485989643
43800,101.717008,103.179438,183.292968,0.554942228,0.562920875
44100,102.762797,111.474546,183.154857,0.561070554,0.608635489
44400,112.667079,119.623587,183.10483,0.615314621,0.653306562
44700,124.255156,126.367711,183.201706,0.678242352,0.689773659
45000,147.968344,147.516784,183.376542,0.806909883,0.804447409
45300,155.691172,155.291252,183.211069,0.849791297,0.84760846
45600,166.04262,166.6425,182.576684,0.909440441,0.912726074
45900,170.576002,170.163622,182.632938,0.933982686,0.931724714
46200,185.352591,185.352591,182.674788,1.014658854,1.014658854
46500,195.872877,196.172817,183.473408,1.067581832,1.069216619
46800,200.355049,204.703089,184.07754,1.088427458,1.112048156
47100,186.490765,185.586319,181.232718,1.029012681,1.024022158
47400,180.676158,180.676158,180.676158,1,1
47700,176.201344,176.201344,176.201344,1,1
48000,172.921158,172.921158,172.921158,1,1
48300,182.83604,182.83604,182.83604,1,1
48600,181.627747,181.627747,181.627747,1,1
48900,176.552525,176.552525,176.552525,1,1
49200,175.833448,175.833448,175.833448,1,1
49500,174.496257,174.496257,174.496257,1,1
49800,173.974529,173.974529,173.974529,1,1
50100,174.309449,174.309449,174.309449,1,1
50400,171.631209,171.631209,171.631209,1,1
50700,172.2767,172.2767,172.2767,1,1
51000,180.340559,180.340559,180.340559,1,1
51300,179.523241,179.523241,179.523241,1,1
51600,179.099815,179.099815,179.099815,1,1
51900,179.265823,179.265823,179.265823,1,1
52200,164.952245,164.952245,164.952245,1,1
52500,177.519859,177.519859,177.519859,1,1
52800,173.086335,173.086335,173.086335,1,1
53100,170.453985,170.453985,170.453985,1,1
53400,171.379654,171.379654,171.379654,1,1
53700,173.277924,173.277924,173.277924,1,1
54000,171.634144,171.634144,171.634144,1,1
54300,172.891194,172.891194,172.891194,1,1
54600,172.264694,172.264694,172.264694,1,1
54900,171.629768,171.629768,171.629768,1,1
55200,170.239644,170.239644,170.239644,1,1
55500,170.253075,170.253075,170.253075,1,1
55800,170.491966,170.491966,170.491966,1,1
56100,171.977229,171.977229,171.977229,1,1
56400,171.703334,171.703334,171.703334,1,1
56700,170.911479,170.911479,170.911479,1,1
57000,169.316428,169.316428,169.316428,1,1
57300,169.681117,169.681117,169.681117,1,1
57600,168.855786,168.855786,168.855786,1,1
57900,172.94713,172.94713,172.94713,1,1
58200,171.637301,171.637301,171.637301,1,1
58500,171.340424,171.340424,171.340424,1,1
58800,173.94794,173.94794,173.94794,1,1
