Type,Capacity,Cpu,Mem,Time
Up,110,0.550188,0.723708,0
Up,120,0.594614,0.775076,0
Up,130,0.603612,0.786220,0
Up,140,0.613055,0.797208,0
Up,150,0.657971,0.843592,0
Up,160,0.677673,0.864615,0
Up,170,0.677520,0.865107,0
Up,180,0.672723,0.861821,0
Up,190,0.688209,0.876806,0
Up,200,0.734476,0.916657,41400
Up,210,0.687691,0.799807,66600
Up,220,0.876174,0.819212,187800
Up,230,0.879610,0.793228,187800
Up,240,0.881433,0.770359,187800
Up,250,0.784738,0.770384,759000
Up,260,0.535874,0.711995,857700
Up,270,0.535543,0.691984,864300
Up,280,0.587844,0.694857,876900
Up,290,0.631215,0.785191,1516500
Up,300,0.796263,0.803661,1596000
Up,310,0.801390,0.783785,1596000
Up,320,0.806196,0.765151,1596000
Up,330,0.810711,0.747646,1596000
Up,340,0.814961,0.731171,1596000
Up,350,0.818968,0.715638,1596000
Up,360,0.933618,0.707315,2082300
Up,370,0.934198,0.692252,2082300
Up,380,0.934748,0.677982,2082300
