Type,Capacity,Cpu,Mem,Time
Up,110,0.550188,0.723708,0
Up,120,0.674164,0.886891,0
Up,130,0.694118,0.902370,0
Up,140,0.705288,0.908742,0
Up,150,0.714742,0.916827,0
Up,160,0.719995,0.925060,0
Up,170,0.717864,0.928388,0
Up,180,0.726299,0.930990,0
Up,190,0.765437,0.934668,30000
Up,200,0.807090,0.939713,97200
Up,210,0.830664,0.940456,179100
Up,220,0.933745,0.853008,187800
Up,230,0.942679,0.833698,187800
Up,240,0.688069,0.955736,818700
Up,250,0.814655,0.933839,929400
Up,260,0.686607,0.920806,1495200
Up,270,0.875895,0.930036,1596000
Up,280,0.883275,0.904410,1596000
Up,290,0.885756,0.879689,1596000
Up,300,0.888070,0.856616,1596000
Up,310,0.890236,0.835031,1596000
Up,320,0.892266,0.814796,1596000
Up,330,0.894173,0.795787,1596000
Up,340,0.959518,0.799032,2082300
Up,350,0.959391,0.780489,2082300
Up,360,0.959272,0.762975,2082300
Up,370,0.959158,0.746408,2082300
Up,380,0.959051,0.730713,2082300
