Type,Capacity,Cpu,Mem,Time
Up,110,0.550188,0.723708,0
Up,120,0.594614,0.775076,0
Up,130,0.603612,0.786220,0
Up,140,0.613055,0.797208,0
Up,150,0.657971,0.843592,0
Up,160,0.677673,0.864615,0
Up,170,0.677520,0.865107,0
Up,180,0.672723,0.861821,0
Up,190,0.688209,0.876806,0
Up,200,0.744117,0.921474,32700
Up,210,0.686539,0.802473,60300
Up,220,0.868776,0.836972,187800
Up,230,0.871909,0.810560,187800
Up,240,0.875379,0.787276,187800
Up,250,0.541420,0.729655,798600
Up,260,0.549320,0.746746,857700
Up,270,0.548492,0.725448,864300
Up,280,0.626924,0.754643,950700
Up,290,0.645194,0.822913,1516500
Up,300,0.799617,0.838907,1596000
Up,310,0.804636,0.817894,1596000
Up,320,0.809341,0.798195,1596000
Up,330,0.813761,0.779689,1596000
Up,340,0.817921,0.762271,1596000
Up,350,0.821843,0.745849,1596000
Up,360,0.932439,0.758461,2082300
Up,370,0.933051,0.742016,2082300
Up,380,0.933631,0.726437,2082300
Up,390,0.934181,0.711656,2082300
